chinese	english
首先交待的就是逃跑上山那天晚上的事。	The first thing I confessed was what happened the night we ran away.
饭毕，贾母犹欲和那几个老管家的嬷嬷斗牌。	After dinner Grandmother Jia wanted to go on playing cards with some of the old stewardesses.
站一个至高点看上海，上海的弄堂是壮观的景象。	LOOKED DOWN UPON from the highest point in the city, Shanghai's longtang—her vast neighborhoods inside enclosed alleys—are a magnificent sight.
钱老板将那人横放在地下。	Butcher Qian laid the body on the floor.
待要不说，今日所为何来?	Yet if she did not speak up now, what would have been the purpose of her visit?
因此，有时他的派推对上会有特别的人物出场，比如电影明星，乐团的首席提琴手，记者，某共产党或国民党将领的子孙。	Occasionally, real celebrities would appear, such as movie stars, the first violin from a famous orchestra, and reporters, as well as the children and grandchildren of powerful Communist and Nationalist leaders.
可是她说，“记得记得！	But she said, 'I remember, I remember.
总舵主收起了笑容，正色道：“这是极要紧的大事，生死攸关，可不是小孩子们的玩意。”	The Helmsman's smile gave way to a more grave expression. 'This is an extremely serious business, involving matters of life and death. We're not talking about children's games.'
黛玉道：“偏说‘死’!	I'll talk about death if I like, Death! Death! Death!
她说，暴露就暴露，我不怕！	She said, Let me be exposed. I don't care.
共总宝叔屋内有几个女孩子？”	How many girls were there working for him altogether?
远远的路程，闷得慌。”	The long journey has bored us to tears.'
罗汉大爷没走，一直在我家担任业务领导，直到我家那两头大黑骡子被日本人拉到胶平公路修筑工地上去使役为止。	Uncle Arhat didn't leave after all. Instead he became our foreman, right up to the day the Japanese confiscated our mules to work on the Jiao-Ping highway.
赵姨娘啐道：“谁叫你上高台盘了? 下流没脸的东西!	Aunt Zhao spat contemptuously: 'Nasty little brat! That's what comes of getting above yourself.
这一眼带了些惊恐失措，并没有对谁的一种茫茫然的哀恳，要求原谅的表情。	The look in her eyes had a hint of panic, but she was not at all looking for sympathy or forgiveness.
想到此，迎着那阳光，徜徉西行，见落日上方彤云膨胀，如牡丹芍药开放，云团上俱镶着灼目金边，鲜明得可怕。	At this point in his ruminations, he headed west, where bilious red clouds turned the setting sun into a blooming peony with a luminous, fearfully bright golden border.
那位穿着怪异的女士，是著名作家，是少见的风格前卫却拥有众多读者的小说家，她写的书，从哪一页开始看都行。	The strangely dressed woman was a famous writer, one of those rare novelists who wrote in an avant-garde style but still had many readers. You could start one of her books on any page.
蒋丽莉沉默了一会儿，回头看他还在流泪，嘲笑道：怎么，失恋了？	Jiang Lili did not speak for a long time. Then, seeing that he was still crying, she sneered, 'What's wrong? Went out and got your heart broken, did you?'
她给我打过针，我就走了，好像说了一声谢了，又好像没说。	She gave me a shot and I left. Maybe I thanked her, or maybe I didn't.
雨村遂起身往外一看，原来是一个丫鬟在那里掐花儿：生的仪容不俗，眉目清秀，虽无十分姿色，却也有动人之处。	Immediately he jumped up and peered out to see who it was. The cough appeared to have come from a maid who was picking flowers in the garden. She was an unusually good-looking girl with a rather refined face: not a great beauty, by any means, but with something striking about her.
我想和她性交，而且认为她不应该不同意。	I wanted to have sex with her and thought she shouldn't refuse.
同时改变三颗卫星和一个地面观测站的数据？	To simultaneously alter the data from three satellites and an observatory on Earth?
“我不能容忍这个白痴了！” 上校站起来大叫。	'I can no longer tolerate this idiot!' the colonel shouted, standing up.
她最初对此没有在意，但日子长了后，当她看到那些汉子如何粗暴地打老婆，如何同屯里的寡妇打情骂俏时，说出那些让她听半句都脸红的话，才感到这种敬重的珍贵。	She didn't pay much attention to this at first. But after a while, after observing how those men roughly beat their wives and flirted outrageously with the widows in the village, saying things that made her blush, she finally realized how precious their respect was.
再往后，他们因有了电视机，就不去电影院了。	Once his parents bought a television set, they stopped going to the movies altogether.
又没叫你替我解闷儿!	And I'm sure I never asked to be kept amused.
程先生拿东西的手不禁抖了一下，他想说什么，喉头却哽着，待咽下了，又不知该说什么了，只得装没听见。	Mr. Cheng trembled and almost lost hold of the things in his hands. He wanted to say something but his throat had closed up. By the time he was able to speak, he had forgotten what to say. So he simply pretended that he had not heard.
后来我想，生生也不妨，再跟她说，她却不肯生了。	Later I thought having babies wasn't a bad idea. But when I mentioned it to her, she changed her mind.
我不叫你取去，他也不‘等’你了。	'If I hadn't asked you to go and get it, she wouldn't have been waiting, would she?
那文士道：“正是。	'That's right,' said the man.
海老公哼了一声，道：“杀个把人，有什么了不起啦？	Old Hai humphed. 'What's so alarming about killing?
这些功夫是见不得人的。”	The sort of things he taught me were not the sort of things you'd want anyone else to see.'
这竟是叶文洁的一个鬼门关，她遇到了难产，在剧痛和大出血后陷入昏迷，冥冥中只看到三个灼热刺眼的太阳围绕着她缓缓转动，残酷地炙烤着她。	This became one of the hardest times in Ye's life. After enduring a great deal of pain and losing a large amount of blood, she sank into a coma. Through a blur she could only see three hot, blinding suns slowly orbiting around her, cruelly roasting her body.
或者他还念旧，有些好处也未可知。	You never know, she might do something for you for the sake of old times.
一个庞然大物骤然出现在我们身边，耳边的刚毛上挂着水珠。	A hulk suddenly turned up beside us, with dewdrops dangling from a hairy ear.
虽然她总穿着衣服干活，可是阳光透过了薄薄的布料。	Even though she always worked with her clothes on, the sunshine still got through the thin fabric.
当然，这仍是一台效率很低的机器，但确实能够完成人类手工力不能及的运算。	Of course, this was still a very inefficient machine, but it was capable of completing calculations that were too difficult to be performed manually.
四天后，巴拿马运河盖拉德水道。	Four days later, Gaillard Cut, Panama Canal
